<a href="http://www.actgate.com/pipe.html" target="_blank" ><img src="http://quickmap.lroc.asu.edu/img/pipe_logo_40.jpg" /></a>

<br /><br />

position,GLD100,lon,lat
      0.00000,  -1298.00000,     23.95737,    -10.84847
      0.54075,  -1276.00000,     23.95906,    -10.86623
      1.08150,  -1264.00000,     23.96075,    -10.88398
      1.62225,  -1165.00000,     23.96244,    -10.90174
      2.16301,  -1109.00000,     23.96412,    -10.91950
      2.70376,  -1064.00000,     23.96581,    -10.93725
      3.24451,  -1015.00000,     23.96750,    -10.95501
      3.78526,   -946.00000,     23.96919,    -10.97276
      4.32601,   -835.00000,     23.97088,    -10.99052
      4.86676,   -756.00000,     23.97257,    -11.00827
      5.40752,   -690.00000,     23.97426,    -11.02603
      5.94827,   -611.00000,     23.97595,    -11.04378
      6.48902,   -526.00000,     23.97764,    -11.06154
      7.02977,   -458.00000,     23.97933,    -11.07929
      7.57052,   -408.00000,     23.98102,    -11.09705
      8.11127,   -363.00000,     23.98271,    -11.11481
      8.65202,   -318.00000,     23.98440,    -11.13256
      9.19278,   -290.00000,     23.98610,    -11.15032
      9.73353,   -237.00000,     23.98779,    -11.16807
     10.27428,   -147.00000,     23.98948,    -11.18583
     10.81503,    -98.00000,     23.99117,    -11.20358
     11.35578,    -64.00000,     23.99286,    -11.22134
     11.89653,    -31.00000,     23.99456,    -11.23909
     12.43729,      8.00000,     23.99625,    -11.25685
     12.97804,     45.00000,     23.99794,    -11.27460
     13.51879,     79.00000,     23.99963,    -11.29236
     14.05954,    107.00000,     24.00133,    -11.31012
     14.60029,    142.00000,     24.00302,    -11.32787
     15.14104,    182.00000,     24.00472,    -11.34563
     15.68179,    266.00000,     24.00641,    -11.36338
     16.22255,    290.00000,     24.00810,    -11.38114
     16.76330,    309.00000,     24.00980,    -11.39889
     17.30405,    333.00000,     24.01149,    -11.41665
     17.84480,    348.00000,     24.01319,    -11.43440
     18.38555,    358.00000,     24.01488,    -11.45216
     18.92630,    362.00000,     24.01658,    -11.46991
     19.46705,    359.00000,     24.01827,    -11.48767
     20.00781,    391.00000,     24.01997,    -11.50542
     20.54856,    374.00000,     24.02166,    -11.52318
     21.08931,    336.00000,     24.02336,    -11.54093
     21.63006,    278.00000,     24.02506,    -11.55869
     22.17081,    215.00000,     24.02675,    -11.57644
     22.71156,    139.00000,     24.02845,    -11.59420
     23.25232,    131.00000,     24.03015,    -11.61196
     23.79307,    131.00000,     24.03184,    -11.62971
     24.33382,    148.00000,     24.03354,    -11.64747
     24.87457,    301.00000,     24.03524,    -11.66522
     25.41532,    301.00000,     24.03694,    -11.68298
     25.95607,    344.00000,     24.03863,    -11.70073
     26.49682,    398.00000,     24.04033,    -11.71849
     27.03758,    469.00000,     24.04203,    -11.73624
     27.57833,    540.00000,     24.04373,    -11.75400
     28.11908,    590.00000,     24.04543,    -11.77175
     28.65983,    629.00000,     24.04713,    -11.78951
     29.20058,    670.00000,     24.04883,    -11.80726
     29.74133,    755.00000,     24.05053,    -11.82502
     30.28209,    860.00000,     24.05222,    -11.84277
     30.82284,    902.00000,     24.05393,    -11.86053
     31.36359,    822.00000,     24.05562,    -11.87828
     31.90434,    651.00000,     24.05733,    -11.89604
     32.44509,    415.00000,     24.05903,    -11.91379
     32.98584,    141.00000,     24.06073,    -11.93155
     33.52659,   -105.00000,     24.06243,    -11.94930
     34.06735,   -311.00000,     24.06413,    -11.96706
     34.60810,   -476.00000,     24.06583,    -11.98481
     35.14885,   -577.00000,     24.06753,    -12.00257
     35.68960,   -572.00000,     24.06923,    -12.02032
     36.23035,   -570.00000,     24.07094,    -12.03808
     36.77110,   -535.00000,     24.07264,    -12.05583
     37.31186,   -499.00000,     24.07434,    -12.07359
     37.85261,   -526.00000,     24.07604,    -12.09134
     38.39336,   -644.00000,     24.07775,    -12.10910
     38.93411,   -727.00000,     24.07945,    -12.12685
     39.47486,   -824.00000,     24.08115,    -12.14461
     40.01561,   -926.00000,     24.08286,    -12.16236
     40.55636,  -1017.00000,     24.08456,    -12.18012
     41.09712,  -1077.00000,     24.08627,    -12.19787
     41.63787,  -1170.00000,     24.08797,    -12.21563
     42.17862,  -1258.00000,     24.08968,    -12.23338
     42.71937,  -1308.00000,     24.09138,    -12.25114
     43.26012,  -1304.00000,     24.09309,    -12.26889
     43.80087,  -1281.00000,     24.09479,    -12.28665
     44.34163,  -1295.00000,     24.09650,    -12.30440
     44.88238,  -1312.00000,     24.09820,    -12.32216
     45.42313,  -1311.00000,     24.09991,    -12.33991
     45.96388,  -1262.00000,     24.10161,    -12.35766
     46.50463,  -1244.00000,     24.10332,    -12.37542
     47.04538,  -1238.00000,     24.10503,    -12.39317
     47.58613,  -1335.00000,     24.10674,    -12.41093
     48.12689,  -1395.00000,     24.10844,    -12.42868
     48.66764,  -1426.00000,     24.11015,    -12.44644
     49.20839,  -1424.00000,     24.11186,    -12.46419
     49.74914,  -1421.00000,     24.11356,    -12.48195
     50.28989,  -1420.00000,     24.11527,    -12.49970
     50.83064,  -1390.00000,     24.11698,    -12.51746
     51.37139,  -1285.00000,     24.11869,    -12.53521
     51.91215,  -1214.00000,     24.12040,    -12.55297
     52.45290,  -1153.00000,     24.12211,    -12.57072
     52.99365,  -1127.00000,     24.12382,    -12.58848
     53.53440,  -1125.00000,     24.12553,    -12.60623
     54.07515,  -1117.00000,     24.12724,    -12.62399
     54.61590,  -1104.00000,     24.12895,    -12.64174
     55.15666,  -1115.00000,     24.13066,    -12.65949
     55.69741,  -1139.00000,     24.13237,    -12.67725
     56.23816,  -1116.00000,     24.13408,    -12.69500
     56.77891,  -1149.00000,     24.13579,    -12.71276
     57.31966,  -1161.00000,     24.13750,    -12.73051
     57.86041,  -1173.00000,     24.13921,    -12.74827
     58.40116,  -1155.00000,     24.14092,    -12.76602
     58.94192,  -1140.00000,     24.14263,    -12.78378
     59.48267,  -1138.00000,     24.14435,    -12.80153
     60.02342,  -1151.00000,     24.14606,    -12.81929
     60.56417,  -1187.00000,     24.14777,    -12.83704
     61.10492,  -1196.00000,     24.14949,    -12.85479
     61.64567,  -1230.00000,     24.15120,    -12.87255
     62.18643,  -1255.00000,     24.15291,    -12.89030
     62.72718,  -1264.00000,     24.15463,    -12.90806
     63.26793,  -1270.00000,     24.15634,    -12.92581
     63.80868,  -1289.00000,     24.15805,    -12.94357
     64.34943,  -1304.00000,     24.15977,    -12.96132
     64.89018,  -1309.00000,     24.16148,    -12.97908
     65.43093,  -1329.00000,     24.16320,    -12.99683
     65.97169,  -1299.00000,     24.16491,    -13.01458
     66.51244,  -1304.00000,     24.16663,    -13.03234
     67.05319,  -1298.00000,     24.16834,    -13.05009
     67.59394,  -1271.00000,     24.17006,    -13.06785
     68.13469,  -1234.00000,     24.17177,    -13.08560
     68.67544,  -1194.00000,     24.17349,    -13.10336
     69.21620,  -1158.00000,     24.17521,    -13.12111
     69.75695,  -1132.00000,     24.17693,    -13.13886
     70.29770,  -1106.00000,     24.17864,    -13.15662
     70.83845,  -1073.00000,     24.18036,    -13.17437
     71.37920,  -1046.00000,     24.18208,    -13.19213
     71.91995,   -904.00000,     24.18379,    -13.20988
     72.46070,   -535.00000,     24.18551,    -13.22764
     73.00146,   -307.00000,     24.18723,    -13.24539
     73.54221,    -97.00000,     24.18895,    -13.26314
     74.08296,     80.00000,     24.19067,    -13.28090
     74.62371,    216.00000,     24.19239,    -13.29865
     75.16446,    325.00000,     24.19411,    -13.31641
     75.70521,    279.00000,     24.19583,    -13.33416
     76.24597,    170.00000,     24.19755,    -13.35191
     76.78672,   -128.00000,     24.19927,    -13.36967
     77.32747,   -306.00000,     24.20099,    -13.38742
     77.86822,   -490.00000,     24.20271,    -13.40518
     78.40897,   -648.00000,     24.20443,    -13.42293
     78.94972,   -737.00000,     24.20615,    -13.44069
     79.49047,   -888.00000,     24.20787,    -13.45844
     80.03123,   -994.00000,     24.20959,    -13.47619
     80.57198,  -1024.00000,     24.21131,    -13.49395
     81.11273,   -999.00000,     24.21304,    -13.51170
     81.65348,  -1009.00000,     24.21476,    -13.52946
     82.19423,  -1077.00000,     24.21648,    -13.54721
     82.73498,  -1135.00000,     24.21820,    -13.56496
     83.27573,  -1178.00000,     24.21993,    -13.58272
     83.81649,  -1212.00000,     24.22165,    -13.60047
     84.35724,  -1212.00000,     24.22337,    -13.61823
     84.89799,  -1215.00000,     24.22510,    -13.63598
     85.43874,  -1219.00000,     24.22682,    -13.65373
     85.97949,  -1226.00000,     24.22855,    -13.67149
     86.52024,  -1209.00000,     24.23027,    -13.68924
     87.06100,  -1205.00000,     24.23200,    -13.70700
     87.60175,  -1214.00000,     24.23372,    -13.72475
     88.14250,  -1255.00000,     24.23545,    -13.74250
     88.68325,  -1315.00000,     24.23717,    -13.76026
     89.22400,  -1329.00000,     24.23890,    -13.77801
     89.76475,  -1280.00000,     24.24063,    -13.79576
     90.30550,  -1242.00000,     24.24235,    -13.81352
     90.84626,  -1284.00000,     24.24408,    -13.83127
     91.38701,  -1387.00000,     24.24581,    -13.84903
     91.92776,  -1475.00000,     24.24753,    -13.86678
     92.46851,  -1546.00000,     24.24926,    -13.88453
     93.00926,  -1615.00000,     24.25099,    -13.90229
     93.55001,  -1775.00000,     24.25272,    -13.92004
     94.09077,  -1820.00000,     24.25444,    -13.93780
     94.63152,  -1863.00000,     24.25617,    -13.95555
     95.17227,  -1887.00000,     24.25790,    -13.97330
     95.71302,  -1896.00000,     24.25963,    -13.99106
     96.25377,  -1904.00000,     24.26136,    -14.00881
     96.79452,  -1889.00000,     24.26309,    -14.02656
     97.33527,  -1889.00000,     24.26482,    -14.04432
     97.87603,  -1894.00000,     24.26655,    -14.06207
     98.41678,  -1910.00000,     24.26828,    -14.07982
     98.95753,  -1917.00000,     24.27001,    -14.09758
     99.49828,  -1900.00000,     24.27174,    -14.11533
    100.03903,  -1845.00000,     24.27347,    -14.13309
    100.57978,  -1662.00000,     24.27521,    -14.15084
    101.12054,  -1587.00000,     24.27694,    -14.16859
    101.66129,  -1454.00000,     24.27867,    -14.18635
    102.20204,  -1346.00000,     24.28040,    -14.20410
    102.74279,  -1264.00000,     24.28214,    -14.22185
    103.28354,  -1184.00000,     24.28387,    -14.23961
    103.82429,  -1112.00000,     24.28560,    -14.25736
    104.36504,  -1041.00000,     24.28733,    -14.27511
    104.90580,   -975.00000,     24.28907,    -14.29287
    105.44655,   -917.00000,     24.29080,    -14.31062
    105.98730,   -883.00000,     24.29254,    -14.32837
    106.52805,   -872.00000,     24.29427,    -14.34613
    107.06880,   -888.00000,     24.29601,    -14.36388
    107.60955,   -810.00000,     24.29774,    -14.38164
    108.15030,   -756.00000,     24.29948,    -14.39939
    108.69106,   -663.00000,     24.30121,    -14.41714
    109.23181,   -545.00000,     24.30295,    -14.43490
    109.77256,   -426.00000,     24.30468,    -14.45265
    110.31331,   -290.00000,     24.30642,    -14.47040
    110.85406,   -137.00000,     24.30816,    -14.48816
    111.39481,      3.00000,     24.30990,    -14.50591
    111.93557,    278.00000,     24.31163,    -14.52366
    112.47632,    350.00000,     24.31337,    -14.54142
    113.01707,    410.00000,     24.31511,    -14.55917
    113.55782,    434.00000,     24.31685,    -14.57692
    114.09857,    440.00000,     24.31859,    -14.59468
    114.63932,    431.00000,     24.32032,    -14.61243
    115.18007,    415.00000,     24.32206,    -14.63018
    115.72083,    422.00000,     24.32380,    -14.64794
    116.26158,    479.00000,     24.32554,    -14.66569
    116.80233,    672.00000,     24.32728,    -14.68344
    117.34308,    786.00000,     24.32902,    -14.70120
    117.88383,    885.00000,     24.33076,    -14.71895
    118.42458,    980.00000,     24.33250,    -14.73670
    118.96534,   1091.00000,     24.33425,    -14.75445
    119.50609,   1219.00000,     24.33599,    -14.77221
    120.04684,   1344.00000,     24.33773,    -14.78996
    120.58759,   1461.00000,     24.33947,    -14.80771
    121.12834,   1625.00000,     24.34121,    -14.82547
    121.66909,   1823.00000,     24.34295,    -14.84322
    122.20984,   1843.00000,     24.34470,    -14.86097
    122.75060,   1873.00000,     24.34644,    -14.87873
    123.29135,   1890.00000,     24.34818,    -14.89648
    123.83210,   1879.00000,     24.34993,    -14.91423
    124.37285,   1848.00000,     24.35167,    -14.93199
    124.91360,   1789.00000,     24.35341,    -14.94974
    125.45435,   1712.00000,     24.35516,    -14.96749
    125.99511,   1616.00000,     24.35690,    -14.98525
    126.53586,   1536.00000,     24.35865,    -15.00300
    127.07661,   1518.00000,     24.36039,    -15.02075
    127.61736,   1486.00000,     24.36214,    -15.03850
    128.15811,   1455.00000,     24.36389,    -15.05626
    128.69886,   1484.00000,     24.36563,    -15.07401
    129.23961,   1489.00000,     24.36738,    -15.09176
    129.78037,   1463.00000,     24.36913,    -15.10952
    130.32112,   1440.00000,     24.37087,    -15.12727
    130.86187,   1404.00000,     24.37262,    -15.14502
    131.40262,   1371.00000,     24.37437,    -15.16277
    131.94337,   1415.00000,     24.37612,    -15.18053
    132.48412,   1354.00000,     24.37786,    -15.19828
    133.02488,   1284.00000,     24.37961,    -15.21603
    133.56563,   1227.00000,     24.38136,    -15.23379
    134.10638,   1191.00000,     24.38311,    -15.25154
    134.64713,   1174.00000,     24.38486,    -15.26929
    135.18788,   1171.00000,     24.38661,    -15.28704
    135.72863,   1173.00000,     24.38836,    -15.30480
    136.26938,   1190.00000,     24.39011,    -15.32255
    136.81014,   1177.00000,     24.39186,    -15.34030
    137.35089,   1133.00000,     24.39361,    -15.35806
    137.89164,   1076.00000,     24.39536,    -15.37581
    138.43239,   1018.00000,     24.39711,    -15.39356
    138.97314,    913.00000,     24.39887,    -15.41131
    139.51389,    854.00000,     24.40062,    -15.42907
    140.05464,    811.00000,     24.40237,    -15.44682
    140.59540,    790.00000,     24.40412,    -15.46457
    141.13615,    786.00000,     24.40588,    -15.48232
    141.67690,    716.00000,     24.40763,    -15.50008
    142.21765,    774.00000,     24.40938,    -15.51783
    142.75840,    888.00000,     24.41114,    -15.53558
    143.29915,    928.00000,     24.41289,    -15.55333
    143.83991,   1012.00000,     24.41465,    -15.57109
    144.38066,   1131.00000,     24.41640,    -15.58884
    144.92141,   1269.00000,     24.41816,    -15.60659
    145.46216,   1388.00000,     24.41991,    -15.62434
    146.00291,   1483.00000,     24.42167,    -15.64210
    146.54366,   1584.00000,     24.42342,    -15.65985
    147.08441,   1694.00000,     24.42518,    -15.67760
    147.62517,   1772.00000,     24.42694,    -15.69535
    148.16592,   1916.00000,     24.42869,    -15.71311
    148.70667,   2015.00000,     24.43045,    -15.73086
    149.24742,   2124.00000,     24.43221,    -15.74861
    149.78817,   2274.00000,     24.43397,    -15.76636
    150.32892,   2309.00000,     24.43572,    -15.78412
    150.86968,   2323.00000,     24.43748,    -15.80187
    151.41043,   2318.00000,     24.43924,    -15.81962
    151.95118,   2306.00000,     24.44100,    -15.83737
    152.49193,   2235.00000,     24.44276,    -15.85513
    153.03268,   2178.00000,     24.44452,    -15.87288
    153.57343,   2138.00000,     24.44628,    -15.89063
    154.11418,   2100.00000,     24.44804,    -15.90838
    154.65494,   2049.00000,     24.44980,    -15.92614
    155.19569,   1973.00000,     24.45156,    -15.94389
    155.73644,   1870.00000,     24.45332,    -15.96164
    156.27719,   1755.00000,     24.45508,    -15.97939
    156.81794,   1810.00000,     24.45685,    -15.99714
    157.35869,   2308.00000,     24.45861,    -16.01490
    157.89945,   2352.00000,     24.46037,    -16.03265
    158.44020,   2419.00000,     24.46213,    -16.05040
    158.98095,   2507.00000,     24.46390,    -16.06815
    159.52170,   2577.00000,     24.46566,    -16.08591
    160.06245,   2559.00000,     24.46742,    -16.10366
    160.60320,   2484.00000,     24.46919,    -16.12141
    161.14395,   2407.00000,     24.47095,    -16.13916
    161.68471,   2402.00000,     24.47272,    -16.15691
