<a href="http://www.actgate.com/pipe.html" target="_blank" ><img src="http://quickmap.lroc.asu.edu/img/pipe_logo_40.jpg" /></a>

<br /><br />

position,GLD100,lon,lat
      0.00000,   1315.00000,     21.33888,    -14.66151
      0.53630,   1328.00000,     21.35518,    -14.65349
      1.07261,   1301.00000,     21.37147,    -14.64547
      1.60891,   1285.00000,     21.38776,    -14.63744
      2.14522,   1189.00000,     21.40405,    -14.62942
      2.68152,   1184.00000,     21.42034,    -14.62140
      3.21783,   1169.00000,     21.43663,    -14.61337
      3.75413,   1159.00000,     21.45291,    -14.60534
      4.29044,   1147.00000,     21.46920,    -14.59732
      4.82674,   1143.00000,     21.48548,    -14.58929
      5.36305,   1162.00000,     21.50176,    -14.58126
      5.89935,   1173.00000,     21.51804,    -14.57322
      6.43566,   1162.00000,     21.53433,    -14.56519
      6.97196,   1150.00000,     21.55060,    -14.55716
      7.50827,   1169.00000,     21.56688,    -14.54912
      8.04457,   1123.00000,     21.58316,    -14.54109
      8.58088,   1115.00000,     21.59944,    -14.53305
      9.11718,   1116.00000,     21.61571,    -14.52501
      9.65349,   1127.00000,     21.63198,    -14.51697
     10.18979,   1178.00000,     21.64825,    -14.50893
     10.72610,   1202.00000,     21.66453,    -14.50089
     11.26240,   1224.00000,     21.68080,    -14.49285
     11.79871,   1248.00000,     21.69706,    -14.48480
     12.33501,   1292.00000,     21.71333,    -14.47676
     12.87132,   1313.00000,     21.72960,    -14.46871
     13.40762,   1353.00000,     21.74586,    -14.46067
     13.94393,   1371.00000,     21.76213,    -14.45262
     14.48023,   1423.00000,     21.77839,    -14.44457
     15.01654,   1459.00000,     21.79465,    -14.43652
     15.55284,   1523.00000,     21.81091,    -14.42847
     16.08915,   1541.00000,     21.82717,    -14.42041
     16.62545,   1547.00000,     21.84343,    -14.41236
     17.16176,   1489.00000,     21.85968,    -14.40430
     17.69806,   1429.00000,     21.87594,    -14.39625
     18.23437,   1440.00000,     21.89219,    -14.38819
     18.77067,   1429.00000,     21.90845,    -14.38013
     19.30698,   1539.00000,     21.92470,    -14.37207
     19.84328,   1575.00000,     21.94095,    -14.36401
     20.37959,   1669.00000,     21.95720,    -14.35595
     20.91589,   1684.00000,     21.97345,    -14.34789
     21.45220,   1763.00000,     21.98970,    -14.33982
     21.98850,   1716.00000,     22.00594,    -14.33176
     22.52481,   1683.00000,     22.02219,    -14.32369
     23.06111,   1493.00000,     22.03843,    -14.31563
     23.59742,   1386.00000,     22.05467,    -14.30756
     24.13372,   1239.00000,     22.07092,    -14.29949
     24.67003,   1434.00000,     22.08716,    -14.29142
     25.20633,   1434.00000,     22.10340,    -14.28335
     25.74264,   1337.00000,     22.11963,    -14.27528
     26.27894,   1245.00000,     22.13587,    -14.26720
     26.81524,   1146.00000,     22.15211,    -14.25913
     27.35155,   1126.00000,     22.16834,    -14.25105
     27.88785,   1130.00000,     22.18457,    -14.24297
     28.42416,   1150.00000,     22.20081,    -14.23490
     28.96046,   1174.00000,     22.21704,    -14.22682
     29.49677,   1176.00000,     22.23327,    -14.21873
     30.03307,   1177.00000,     22.24950,    -14.21065
     30.56938,   1206.00000,     22.26572,    -14.20257
     31.10568,   1258.00000,     22.28195,    -14.19449
     31.64199,   1266.00000,     22.29818,    -14.18640
     32.17829,   1366.00000,     22.31440,    -14.17832
     32.71460,   1367.00000,     22.33062,    -14.17023
     33.25090,   1398.00000,     22.34684,    -14.16214
     33.78721,   1354.00000,     22.36306,    -14.15405
     34.32351,   1341.00000,     22.37928,    -14.14596
     34.85982,   1298.00000,     22.39550,    -14.13787
     35.39612,   1332.00000,     22.41172,    -14.12978
     35.93243,   1295.00000,     22.42794,    -14.12169
     36.46873,   1354.00000,     22.44415,    -14.11359
     37.00504,   1396.00000,     22.46037,    -14.10550
     37.54134,   1462.00000,     22.47658,    -14.09740
     38.07765,   1512.00000,     22.49279,    -14.08930
     38.61395,   1617.00000,     22.50900,    -14.08120
     39.15026,   1675.00000,     22.52521,    -14.07310
     39.68656,   1765.00000,     22.54142,    -14.06500
     40.22287,   1816.00000,     22.55762,    -14.05690
